Frame No,Time code,latitude,Longitude,Altitude,Speed,Distance
1,"00:00:00,000 --> 00:00:00,033",9.365171,80.089042,123.051,0.7810249675906654,0.0
2,"00:00:00,033 --> 00:00:00,066",9.365171,80.089042,123.051,0.7810249675906654,0.0
3,"00:00:00,066 --> 00:00:00,100",9.365170,80.089041,123.043,0.6403124237432849,0.0001650356422311777
4,"00:00:00,100 --> 00:00:00,133",9.365170,80.089041,123.043,0.6403124237432849,0.0
5,"00:00:00,133 --> 00:00:00,166",9.365170,80.089041,123.043,0.6403124237432849,0.0
6,"00:00:00,166 --> 00:00:00,200",9.365170,80.089040,123.060,0.6403124237432849,0.00011591227629723772
7,"00:00:00,200 --> 00:00:00,233",9.365170,80.089040,123.060,0.6403124237432849,0.0
8,"00:00:00,233 --> 00:00:00,266",9.365170,80.089040,123.060,0.6403124237432849,0.0
9,"00:00:00,266 --> 00:00:00,300",9.365169,80.089040,123.051,0.6403124237432849,0.00011747811204260161
10,"00:00:00,300 --> 00:00:00,333",9.365169,80.089040,123.051,0.6403124237432849,0.0
11,"00:00:00,333 --> 00:00:00,367",9.365169,80.089040,123.051,0.6403124237432849,0.0
12,"00:00:00,367 --> 00:00:00,400",9.365169,80.089040,123.064,0.58309518948453,0.0
13,"00:00:00,400 --> 00:00:00,433",9.365169,80.089040,123.064,0.58309518948453,0.0
14,"00:00:00,433 --> 00:00:00,467",9.365169,80.089040,123.064,0.58309518948453,0.0
15,"00:00:00,467 --> 00:00:00,500",9.365168,80.089039,123.054,0.5385164807134505,0.00016503564166413064
16,"00:00:00,500 --> 00:00:00,533",9.365168,80.089039,123.054,0.5385164807134505,0.0
17,"00:00:00,533 --> 00:00:00,567",9.365168,80.089039,123.054,0.5385164807134505,0.0
18,"00:00:00,567 --> 00:00:00,600",9.365168,80.089039,123.070,0.5099019513592785,0.0
19,"00:00:00,600 --> 00:00:00,633",9.365168,80.089039,123.070,0.5099019513592785,0.0
20,"00:00:00,633 --> 00:00:00,667",9.365168,80.089039,123.070,0.5099019513592785,0.0
21,"00:00:00,667 --> 00:00:00,700",9.365167,80.089039,123.060,0.5,0.00011747811204260161
22,"00:00:00,700 --> 00:00:00,734",9.365167,80.089039,123.060,0.5,0.0
23,"00:00:00,734 --> 00:00:00,767",9.365167,80.089039,123.060,0.5,0.0
24,"00:00:00,767 --> 00:00:00,800",9.365167,80.089039,123.074,0.5,0.0
25,"00:00:00,800 --> 00:00:00,834",9.365167,80.089039,123.074,0.5,0.0
26,"00:00:00,834 --> 00:00:00,867",9.365167,80.089039,123.074,0.5,0.0
27,"00:00:00,867 --> 00:00:00,900",9.365166,80.089039,123.063,0.6082762530298219,0.00011747811185577883
28,"00:00:00,900 --> 00:00:00,934",9.365166,80.089039,123.063,0.6082762530298219,0.0
29,"00:00:00,934 --> 00:00:00,967",9.365166,80.089039,123.063,0.6082762530298219,0.0
30,"00:00:00,967 --> 00:00:01,000",9.365166,80.089040,123.078,0.6324555320336759,0.00011591227910650083
31,"00:00:01,000 --> 00:00:01,034",9.365166,80.089040,123.078,0.6324555320336759,0.0
32,"00:00:01,034 --> 00:00:01,067",9.365166,80.089040,123.078,0.6324555320336759,0.0
33,"00:00:01,067 --> 00:00:01,101",9.365165,80.089040,123.065,0.8062257748298549,0.00011747811204260161
34,"00:00:01,101 --> 00:00:01,134",9.365165,80.089040,123.065,0.8062257748298549,0.0
35,"00:00:01,134 --> 00:00:01,167",9.365165,80.089040,123.065,0.8062257748298549,0.0
